title,review,date
**Ignore the Idiot Reviews**,This is one of Edinburghs best attractions. Yes it is up a hill ( it always has been ). Yes its pricey but its by no means pricier than a lot of lesser attractions all over the Uk. Plus they offer Membership which is definately worth it.Some of the comments about not seeing the animals..... Have a word. You cant go prodding and poking animals to sing and dance for us on demand.Trust me if they did youd be the ones complaining about animal cruelty.Bottom line. The Zoo is class. Very well maintained and reasonable value.,
Fabulous zoo,Had a fabulous time at the zoo. We mainly went to see the Giant pandas. We were not disappointed. Lots of different species of animals to see.Friendly and helpful staff.Be prepared to walk alot.,
Over priced admission,"Terrible most animals were hidden or asleep panda what we wanted to see stayed in doors saw him from a distance in cave entrance ,must be terrible for family’s ( mama don’t take me to zoo tomorrow 🎼🎼) very over priced shabby catering ie bottle water 2.25 come on ice clippo 2.00 not nice for family’s should hand over to a caterer .The place as a whole needs sorting no management could run this worse",
Great zoo,"Only zoo in the UK with Giant Pandas. Lots of Koalas and King penguins too, which are not often seen.Be prepared for hill walks.Would be a 5* rating but severely lacking in reptiles.Easy to get to from Airport/City, bus stops right outside, about 20 mins from Waverley Bridge.",
Could have been better,"When we travel I like to visit zoos. We stood in line a long time to get in and it was up a hill. Many animals weren't visible. The few we saw were sleeping or non-active. We saw mice in the enclosure ( I believe it was the Panda that just had a baby). The children watching were all commenting. Lots of hills so not easy for anyone with a wheelchair or walking difficulties. Price was high for what we saw. The shop inside for souvenirs was disappointing. They only had one type of refrigerator magnet, no good cup selection and no t-shirts.",
Bit of a Let Down,Most of the animals were out of sight or in the back of the enclosure.  The panda was asleep on his back.  The penguins and Pygmy hippopotamus were worth the trip.  Many hills but a well laid out trail around the exhibits.  The meerkats were interesting.,
Overpriced,As a resident of Edinburgh i go several times a year only because my special needs brother has a pass which allows us to go anytime for 65 pounds for the year. I would never ever pay full price.dont know if I'm just jaded as I've been so many times bit quiet often I comment that a lot of the enclosures you can't see much.  For example the last time we went the majority of the enclosures in the monkey house were empty.  Definately worth going to see a glimpse of the pandas they really are amazing and the penguin enclosure is fab. However compared to other zoos I've been to such a Blackpool I'm just not that impressed.  For my my hunnt and toddler it would be over 50 pounds and then a further 4 pounds to park,
Great day out,First visit here and loved every minute. Animals looked healthy and happy. Staff were friendly and very informative. Full day out and well woth the money. Highly recommended,
Comfy shoes required.,"Set into a hillside Edinburgh Zoo has great views, a large range of animals to view and more information on the conservation effort throughout the world. The map you receive on arrival of the site is clear and well laid out. My one piece of advice would be to go to the highest point of the zoo to the view point and then work your way down the hills. Places to eat on site cover all budgets including places to picnic and clean toilets are all over the place. This was a 21st birthday treat for my daughter who does all things zoo, ecology wise and this had thumbs up from her",
Fantastic zoo,"The highlight of the visit has to be seeing the Giant Pandas. We were very lucky as both of them were out and wandering around their enclosures. The site is steep in places but there are plenty of benches to have a sit down and rest when little legs get tired. We saw all of the animals and we spent around 6 hours looking around. The only minus point was the food, we are in the jungle cafe, we paid £40 for 3 cheeseburgers, a hot dog, 4 portions of chips and 4 cold drinks. It was cold and tasteless and we all left most of it, it made McDonald's look like a gourmet meal!",
Pandas and Penguins,I could recall visiting Edinburgh Zoo many years ago as a child and must admit there is not such a large range of bigger animals now. No elephants or giraffes. The panda and penguins were our highlight. The penguin area is large with a very big pool and underwater viewing area. A new area is under development for the pandas. Worth a visit.,
Need more staff queue 40 mins to get in,"Queued for 40 'min to get in and was disappointing due to there being alot of upkeep needing.... Maintenance by fences being painted, walkways uneven, walkways need brushing up of dust, not enough areas to sit when you are using walking stick etc. Not as many animals and more expensive than Chester Zoo which has to be the best zoo ever. Ice cream huts shut too when walking around. Wouldn't recommend for people unsteady on feet or in wheel chairs as alot of areas have steps and uneven broken paths.",
Disappointed.,"My wife, 2 kids and I went.  Pre-paid and the line was huge....so you're stood outside for a while and it was freezing.  Only good point to pre-paying is it's a little cheaper but i would've paid the extra bit especially when you have a 4 and 3 year old with you outside in the cold.The zoo itself - very disappointing.  Apart from the usual, penguins and some birds, i think we saw one Lion who was sat in one place - difficult to see due to the trees etc.  Most of the animals were asleep.  They have the penguin parade but we didn't last that long - most of the walk is up hill so you're shattered withing an hour or two.  Kids were bored within half an hour as every bit we got to, there was no animal to be seen.Best bit was the panda but again, he was asleep.  When it came to feeding time he came out but then it was packed and you could hardly see anything.Food areas - mayhem.  One restaurant had staff that were helpful but no tables.  Other restaurant - no staff to help but a few tables but again lines were huge.  Would definitely not go again and I wouldn't really recommend it either.  If you're a couple and looking for something to do, its a nice walk round the whole area.  Beautiful view from the hilltop.  If you're trying to entertain kids, a waste of money.",
Disappointed,"Was very disappointed with zoo!,, not an awful lot of animals very poor! Very hilly and did not see any staff on walk about!if anything should have happened there was no one about to get help!!Belfast zoo is a lot better ! And very expensive",
Great Family day out,"Very good day out for whole family!  Edinburgh Zoo is one of the best zoos we have been to. Clenliness, animal welfare are excellent.  Pre book to avoid longer queue but that said,  the non pre book queue went down very fast so was not a problem.",
Lots of animals and great zookeeper talks,"I highly recommend going to the Edinburgh zoo if you go to Edinburgh and make sure not to miss the zookeeper talks. They are very informative and the main organizer will take you all over the zoo after starting at the meerkat exhibit at the front of the zoo. I cannot really comment on the food because I packed my lunch, and I would recommend that you do so as there are some picnic tables and a nice grassy area right by penguin rock in which to eat lunch. The tiger enclosure was particularly interesting because we were in a tunnel while the zookeeper was giving his talk and the tiger actually walked over us, which was a bit surreal. I also liked that the zoo was promoting a message of sustainability and advertised that people need to buy products that use sustainable palm oil in order to protect endangered species who are threatened by the loss of habitat from the use of unsustainable palm oil. For instance, during one of the talks, the zookeeper mentioned how forests in Indonesia have been burned down to make way for growing palm oil and that cannot continue if species like the Sumatran tiger are able to exist in the wild. I also feel like I learned more about the importance of birds to our ecosystems and the fact that humans need to protect them if we want to live on this planet. Anyway, the three minor negative things that I encountered was that the zoo is built on a very steep hill, so be prepared (other reviewers have mentioned this), there are not that many toilets, and the pandas did not seem to be out in their exhibit. Overall, the zoo is definitely worth going to, and I spent around 4 hours there.",
Those otter have it made,"My girlfriend and I are in our early 20s and we wondered if going to a zoo was a little young for us, having been I now think that I will be going to any zoo that I have the chance too. The day we went was overcast and had intermittent showers, but this didn't put a dampener on our day.We were first greeted by meerkats, my girlfriend melted immediately which made it difficult to get her to move on. From there we spent time wandering trying to make our way to the different animals before their particular sections closed (some of the animal's areas close early).The animals most of note were: the mother and baby koala, the rhinos, penguins, pandas and all the birds. I won't go into detail about each one but if your hobby is photography, which mine is, then this place is a must.Overall this was a great experience. We spent the whole afternoon at the zoo and we could have been there longer. I would highly recommend anyone go there, especially if you have kids as there are a lot of activities just for them as well as the animals.",
Disappointing,"We had high hopes for Edinburgh Zoo, but we were very disappointed. I wouldn't advise anyone to visit this place.One of the first things that we noticed was the small , depressing enclosures which did not look fit for animals to be living in. There was a major lack of animals , a lot of the enclosures/ indoor areas were empty!The layout of the zoo is mainly uphill so be prepared!There are some over-priced cafes- the one we went to was dirty and some of the staff were very rude. Better to bring your own snacks etc.We paid £39 for entry for 2 adults which is very expensive considering the lack of animals!",
Lovely zoo,Nice zoo with great facilities for both the animals and the paying visitors.Expensive day out but worthwhile.,
"Fantastic wildlife experience , limited access.","On a rare sunny day in April we took the bus to the zoo. It’s a steep hillside location and whilst a car will take people around the site there are no mobility scooters for hire, so this place may not suit all needs. We did get a free carers ticket. There is a schedule of talks through the day, each provided by staff experts . There is SO much to see here including pandas, Sumatran Tigers, Pygmy hippo, lions, mandrills, penguins sun bears, meerkat and lemurs. The on-site cafes are reasonably priced and there is so much to see that you could really do two days here to see it all properly. The welfare of the animals is the clear priority here, and there is lots of information about endangered species too, with information about the zoo programmes they’re engaged in internationally. Very family friendly. We absolutely loved it. Well worth a visit",
"Small, dirty and dull!","We (my husband, myself and three daughters) looked forward to visiting Edinburgh zoo as part of our week visiting the capital for the first time.Not knowing much about the zoo, only that it is home to a giant panda, we had high hopes and assumed the zoo was around the size of Chester zoo (near our home), this was not the case.Animal enclosuresOne of the first things that we noticed was the smell of the small enclosures, mainly the ones that had ponds or any kind of water in them. The water is green, smelly and stagnant and does not look fit for animals to be living in.There was a distinct lack of animals! Several enclosures were empty and the ones that had any animals in looked depressing and too small, especially for larger animals like the panda or tiger.On site facilitiesThe toilet blocks are very small with queues constantly forming.There are a couple of different cafe/restaurants that are over priced (as expected) and a limited amount of seating for you to eat your meal.ConclusionVery disappointed with Edinburgh zoo. I wouldn't advise anyone to visit this place.",
Where are the animals ?,I have visited the Zoo on the 12th of April 2019 with my family ( wife and my 2 daughters ).  We didn't had the experience we have hoped for as we couldn't see most of the animals... the Zoo looked like being kind of abandoned... maybe a tiny bit of a desolate place. I wouldn't have normally complain about it but we have paid nearly £ 50 for... not too much.,
Cute koalas,"As I'd broken a couple of bones in my foot, I was in a wheelchair when we went. We'd booked a ticket online and were warmly welcomed by the staff. Helpfully, they gave us a map which showed the best route for disabled visitors. They also suggested that we took their mobility vehicle up to the top of the zoo as it would then be a downward slope back to the entrance/exit. The animals were clearly well cared for and it was great to see koalas; they have a special enclosure as they need peace and quiet to remain unstressed. Sadly, the pandas were hiding that day but all the other animals, including rhino, lion and tiger, were very much in evidence; the penguin pool is huge. We had some lovely soup for lunch in one of the cafes and, again, the staff were friendly and helpful. We enjoyed our day out and, even though it was the Easter holidays and there were plenty of visitors, it was easy to get around and to see everything we wanted to.",
It's not to bad,The zoo is fun and a great day out. Over priced though and merch and food is expensive.  We enjoy our annual visit here,
Fantastic Zoo,Brilliant zoo with loads to see and learn about. The hill gets fairly steep the further in you go but does give lovely views from the top. We adored the Sun Bears!,
Where are the animals?!,Access and parking are really not ideal.Over priced but these places always are.All built on a hill so expect lots of uphill walking. Not easy with a pram.Vast majority of enclosures were empty. Children were very disappointed. Thankfully we managed to see one panda at the end if the visit.,
Overpriced,"I went on a day it was raining so most of the animals were inside. Not the zoos fault but a lot of money spent to only see a handful of animal. The zoo is on a steep slope so is a bit of a trek to get round. Was disappointed, but it might have been better if the weather was nice.",
Fab day out!,"What a great day out with the children.  Staff are friendly, informative and happy to talk to the children about the animals.  The animals are varied and there is plenty of info available for every animal. Great day out!",
Enjoyable few hours,Animals looked well and happy. Most people know the zoo is on a hill but the top area is extremely steep. Hand rails would be of benefit there. Signposting is poor in parts as not all animals are on the map or signs so it can be difficult to find certain animals.,
Great time had by all,"We went to Edinburgh zoo as a family of five, grandma, parents, and 2 children.The zoo is absolutely lovely but is incredibly hilly so be prepared to ache the next day! The animals were clearly very well looked after, we particularly enjoyed seeing the 2 pandas. The koalas are definitely worth a look also.The only reason I didn’t rate 5 stars, is that I felt there could’ve been a few more animals. Perhaps they were sleeping?",
"Ok, but not the best","We prepaid our tickets but then ended up in a much longer queue than those paying on the day but didn't have to wait to long before arriving inside.  The zoo is sited on a steep incline but the landscaping and selection of exhibits on the way keep you entertained as you go around. There is a good selection of animals but not all are very easy to see. Appreciate that you can't be guaranteed to see the pandas but as the zoos main attraction, it was disappointing not to be able to catch s go in moss nonetheless - especially as we had travelled from Cornwall.  We did just find the zoo incredibly overcrowded with people even taking into account the school hols.  The cafes were crowded - including people eating their own picnics - and very expensive.  £1.50 for a small packet of crisps! Overall, we were left underwhelmed but the location etc probably means they don't have to try too hard!",
A good day out for all,The zoo has made many improvements over the years since I was last here and is a great visit on a day out.  You can see the animals are well treated and the zoo others many great viewing options to walk around and see as much of the animals as possible.  The penguins and panda are a must when here,
Great day out.,"Had an amazing time seeing some all kinds of animals. Most Zoos have the typical animals, Edinburgh has some unusual ones e.g. Pygmy Hippo, Pandas and other local wildlife.",
Fantastic day out,"We visited this week as we was on holiday In the area, weve visited quite alot of zoo's and this one is definitely one of my favourites! The que to get in with the car took quite a while as you have to que on the main road for access which was abit of a pain, there seemed to be a lack of toilets right near the entrance/exit  2 ladies and 1 men's/baby change/disabled which got very busy. However we had a fantastic day, we saw the panda once asleep on its back when we first arrived  and the next time before we left it was sat up eating which was great to see. Another highlight for me was seeing the baby koala . It's very hilly so wear comfortable shoes! There was plenty of picnic areas dotted around. The park was very clean and tidy. We would definitely visit again if we're in the area again",
Fantastic family day out!,"What a wonderful zoo! A huge place with lovely, big enclosures for all the animals. Plenty of animals to see and places to eat. Well worth a visit !",
Great day out,"Enjoyable visit, there was a huge queue to enter the park which went all the way into the car park. Staff were great but I suggest buying your tickets online before going as we were allowed to skip the whole queue. It’s £4 to park the car in the car park. Great wee park for the kids to play and plenty places to eat. Kids loved it !",
Enjoyable day out,"My family of animal-loving children are veterans of zoo-visiting.  This one rated well in their estimation, with unusual animals such as koala bears and a giant panda.     The penguin parade was great too.Only observation was that more signposting is needed.   Quite frustrating going down dead ends, and the signs there are not matching up with the map, etc.Animals seem well cared for.   Friendly, helpful staff.",
The Amazing Junior Zookeeper Experience for my daughter’s birthday,"I truly recommend everyone to try a zookeeper experience! It was absolutely amazing and worth every penny.Started by getting close to a armadillo, continued by cleaning the gibbons enclosure, followed by feeding the penguins, preparing the food enrichments for meerkats and also trained a cuscus :))An absolute treat for my daughter’s very memorable 8th Birthday.Wow, what a nice experience that was !!",
Very enjoyable for all ages!,"When we turned up there was a huge queue and I was reading the wait but it moved so quickly! Very efficient and such friendly helpful staff! The animals have lots of room as I find some zoos quite enclosed and a bit cruel, but this one had plenty of space for the animals to play and relax whilst we could look and on and enjoy their fun. Vast displays of monkeys and the bears were a particular joy. The food was the only let down, no choice and cold and inflated prices. Plenty of good picnic spots though so pack a picnic and enjoy the sun would be my advice.",
Average,We’ve visited the zoo a handful of times with the children.I always think the prices are over priced for entrance and the fact you need to pay £4 for parking!A lot of the animals looked miserable and some of the areas had nothing in them.We visited the bird area where youcan feed the birds some sort of juice which they charge you a £1 for a small cup! I think this sort of thing should be free of charge at certain times of the day for children to have the experience!,
Busy with the school holidays,"Arrived with the kids for the usual walk round , we were lucky to find a Zoo Keeper who had a young Armadillo running about ,interesting to see the fur on its underside . ,The lions and hippos were out and a couple of Rhinos in the open air . The aviary was good and the baboons were play fighting all in all a good morning out",
"Going to the zoo, zoo, zoo","A great family trip to the zoo today - although a bit cold the kids & adults were kept entertained by all the different animals.  All animals looked happy & well cared for.  The hits for us were the pandas, rhinos and penguins!!! (Although penguin parade was a bit of a let down).  Spent a good 5 hours.  Will visit again.  Thanks",
Nice zoo - but go when it’s not raining,Nice zoo although built on a big hill.  A lot of the animals were in their houses as it was pouring with rain!,
Fantastic day out for animal lovers,"Spent several hours here, would have spent more had the weather permitted.  You do need to plan your day properly to make the most out of the keeper talks/parade/etc.  I also recommend booking your tickets ahead if possible.  The enclosures were all clean, and generously sized where possible.  I spent some time chatting with a keeper while she was sorting something in the armadillo pen, she was more than happy to answer my questions, even recognised me at the end of my trip and asked how I'd enjoyed the day, plus recommended another wildlife park to visit, sadly I didn't get her name but kudos to her!",
Lovely day out at the zoo!,"Had a great time at our visit to the zoo. Saw lots of animals and up quite close too! Kids loved the penguin parade even if it was one penguin stealing all the limelight! We were also lucky enough to see the pandas which was so lovely to see! Our local zoo is Chester zoo so we couldn't help but make comparisons - a little smaller I think but what it lacked in space it made up for in animals, close encounters, knowledgeable staff who gave great talks (man with beard and long hair followed the hippo talk with 2 more about the bears and a bird which were so interesting and his variety of knowledge was impressive!), and all round a great experience. My only downfall was the the fact it's based on a hill, which with a toddler in a buggy and 6 year old dragging his feet made it a little difficult but having said that the views from the hilltop point were spectacular, so not really a negative!! Would love to return if we were back in the area again!!",
Loved It!,"Really enjoyed myself, I loved seeing all the beautiful animals.Surprising a larger zoo, than I thought.Animal enclosures looked well kept and clean.Zoo staff very helpful when we enquired what cafes were open.Saw two beautiful pandas.",
Loved it,"Loved the zoo, weather wasn’t great but we still managed to have a great time. Wide range of animals including the pandas !!  Definitely recommend it for the kids",
Panda Podium,"Loved the zoo, lots to see and do, could have spent the day there. The boys loved the animals. The penguin parade was more like 4 penguins but nevertheless was entertaining to see them wobbling about. The panda came out for a poo and we got to see it parading itself in the warm sunshine. Loved the new restaurant and table service made all the difference to tired legs.",
A rainy zoo day!,"We visited Edinburgh zoo on Wednesday 3/04It was a very wet day but that didn’t stop us (they sell ponchos in the gift shop for £2.50 each - very reasonable)Before we went I was a bit wary after reading all the bad reviews, but went with the attitude of it is what you make it!I wasn’t disappointed, the penguin parade was a lot of fun and we spent 4 hours having a lovely wander round. I can see why people would be angry about the lack of animals ( no giraffes or elephants)The animals that are there can’t be forced to come out and about all the time, so I suppose it’s just luck whether you see them or not!We luckily got to see lots of animals including the pandas!!Overall we had a fab day, but there is deffo room for improvement! Would be nice to a bigger variety of animal. Still worth a visit!!- Beware though it is all up a very steep hill, but they do have a Mobilty car that they use to take you to the top if you ask, as long as you can manage getting down.",
Very disappointing,"We visited the zoo today for our sons 7th birthday and we all left very disappointed.  There are not many animals, the zoo looks tired and unfortunately the hills made this a bit of a disaster.  Only a small number of food outlets were open and menu very limited. Edinburgh zoo has the potential to show off their animals like the giant pandas, koalas and red pandas but they appear not to have the passion or flare to make this into an amazing place.  Our son thought it was the worst zoo he has visited, and we have been to quite a few as he is very passionate about animals.",
Waste of money,"£19.95 for an adult to get in.  Luckily I had the train offer for a free child.  Hardly any animals here.  The tiger looked bored pacing up and down.  No reptile house,  not clear that reptile show, if you can call it that is in the chimpanzee lecture theatre.  No giraffes or elephants.  I wouldn't go back.",
Way to hilly.,"Nice zoo, but hills make it really hard if travelling with young children. Disappointed not to see the Pandas,even though it was a lovely day. Only outside viewing available and they decided not to come outside. Also viewing some of the animals was to far away, chimpanzees etc. And only saw 1! It's a nice zoo but could do with updating.",
Take a picnic and sit at the back of the tiger trail,Lovely Sunday visit with the family at the end of February. The weather was brilliant which does help as it is of course mostly out doors. Very pretty views if you can make it to the top of the hill. We planned ahead and pre booked tickets which i would encourage anyone to do as the standard queue was big when we got there and it had literally just opened. Lots of good animals with the tiger and sun bears being my favourite. Good play park for the kids also. I would suggest taking a picnic and eating this at the picnic area beside the tigers. From here you get a great view of the tiger and another park for the kids to play. My 19 month old was amazed with the penguins. My main gripe is the changing facilities are crap and they really need to update these and the toilets in general. Restaurant food looked poor so glad we took our picnic.,
The early bird gets the worm,"We've arrived before gates were open. As an objective we set all big cats/panda/koala bears. Not only we've managed to see them without elbowing/pusing around, animals too were roaming around their enclosures. Kids absolutely loved it.",
Wow!,"We visited Edinburgh Zoo whilst in Edinburgh on a weekend break recently and we loved it!The animals have lovely enclosures that mean that, whilst you can get close to them, they still have plenty of space. A real highlight for me was the Tiger and the Giant Panda.The only slight downside, which didn’t affect us but may affect others, is how hilly the zoo is. I saw plenty of people with pushchairs, small children and wheel chairs who found the steep hills a little more challenging. Overall, a fabulous day out!",
Most disappointing,Expensive zoo with hardly any animalsWalked round all the enclosures and what a disappointment seen hardly any animalsWe travelled 3 hours to get there and left after 2 hours,
Couldn’t see the pandas 😭,The talks were excellent and very informative. You can even handle some reptiles and insects at some of the talks. We had a great day but unfortunately the pandas weren’t on display.You can get the bus airlink 100 from Edinburgh.,
Off to a bad start which set the scene,"This was a hugely disappointing visit to Edinburgh zoo. On arrival, with one ticket desk open and only 1 other family group ahead of us, it took 10 minutes to buy a ticket. If it was peak season with a massive queue, I could understand. But after queuing for 10 minutes at the ticket desk, 1 of 3, we were told they don’t sell tickets at this desk by the lady, and we had to go to another customer service desk, all whilst the man at the customer service desk seen us standing and getting impatient and not calling us over. So not a good start, to try to get in.Once the saga of the tickets was over, it was largely disappointing and very run down; the cafes were closed and restaurants closed (if they ever open), most of the animal enclosures are empty inside and out (where are the animals ?), we seen monkeys, tigers and zebras and the panda viewing was closed off so couldn’t even see them. Overall for £39 for 2 adults, I want a refund and I will come back when the zoo is functioning as a zoo.",
Great day,"Lovely day out with my family, travelled a very long way and heard about the zoo! With three very different ages of children, there was something for everyone.",
Fun Day Out,We came to Edinburgh mainly to see the Pandas at the Zoo as they’re both mine and my partners favourite animal. It was less busy than i imagined it would be which meant there was always room to see all the animals that were still in their indoor areas. The Only downside was we had to walk up a lot of steep hills. Lots of great Animals and the only Giant Pandas in the UK. Fun Day Out.,
Family day out,"Easy to get to on the 26 bus and it drops you outside. The zoo itself was lovely, very clean, staff all very friendly and informative. Plenty of animals that look well looked after. We had a really lovely day.",
Love the zoo,"We picked a really good day to go in February when the weather was so good, most people had jackets off to walk around & it was so busy with people eating on grass. Love seeing all the animals",
Fun day out!,"We came here whilst visiting Edinburgh for my dads retirement present. Lovely zoo and plenty of animals to see.It is on a hill and can be steep at times. They did offer my grandma a ride up the hill free of charge (the tractor is seasonal) for mobility purposes but she was sure she’d be okay.Staff were polite and friendly, we had a lovely family day out.",
Panda 😍,"Came for the panda and weren’t disappointed. Lovely zoo, nice and clean and a large variety of animals.The zoo is on a steep hill so bear this in mind when coming with kids or wheelchairs etc.Other that, lovely and would definitely recommend.",
Great da out,Myself my husband and two children aged 12 and 8 went for a day trip to the zoo. We arrived at ten and didn't leave to closing time. It is fairly steep but plenty of seating and exhibits to see along the way. We were lucky it was a dry day and got some beautiful views across Edinburgh. Staff were very pleasant and happy to talk about the animals. Great shop were you can spend as much or as little as you want,
Ok.,Failure to mention that a lot of animals could not be seen while paying for tickets.A lot of good places closed.The three stars is purely for the lovely staff in the monkey house at the end.,
Lovely zoo,"Really worth a visit. Beautiful scenery if you go to the top of the hill. Big enclosures and really good, concise information plaques. It was really nice to read about how the zoo is helping with conservation and protection of each species in the zoo . Loads of recycling bins everywhere. Just brilliant!",
Middle-Aged go to the Zoo!,"We loved our time at Edinburgh Zoo despite our age, why should the youngsters have all the fun 😁. We took it steady so the hills didn't beat us and thoroughly enjoyed the animals, views and surroundings. Particular highlights included the Squirrel Monkeys, the penguins (disappointing that they didn't want to come out on parade but we understood) and the Tiger. We will be going back again at some point to catch up with our 'friends'",
I love this place,"Absolutely love this Zoo. Penguin, monkey, kangaroo and more. Great place  spent all day out. See u soon animals",
Was a cold day but defo coming back,Heading straight for the pandas ... the walk up to the big cats was quiet steep but doable ... wallaby’s were closed due to Icy paths got a bit lost and went round and round the monkeys until I found where I was going but thoroughly enjoyed my day there ... got to see pandas the tiger and koalas so left feeling happy as that’s what I came to see as well as the other animals of course !! Good day no matter the weather the animals didn’t seem to care.,
Amazing full day out.,"What a brilliant zoo. The animals all had plenty of space and were well looked after. There were staff everywhere cleaning enclosures and feeding animals. The zoo was clean and well-maintained. It is very hilly though so wear comfy shoes! They do offer assistance if needed and check this with you when you arrive.Plenty of toilet facilities and places to eat. Well signposted and useful map. Lots of animals you rarely see. Brilliant talks with knowledgeable, friendly staff.Definitely one of the best zoos we have been to and well worth a long trip up here.",
Terrible,"Went mainly for the pandas... nothing on the website to say that they weren’t available to view, but only got told AFTER we paid that they weren’t on.Animals look bored and depressed. Tiny zoo. No food places open. Not worth the money. Won’t be going again or recommending it. Awful.",
Fun,Very good and has a lot of interesting animal unfortunately we came too see the pandas but not lucky the toots were having there check up though we still saw the penguins cool as bits well worth a visit,
A Very Average Zoo,Was a regular visitor to Edinburgh zoo as a child and decided that we must bring our granddaughter to the zoo to experience the same enjoyment.Our visit was a disappointment .There was less animals and those that we did see didn’t look very content.The signage at times was confusing and we missed seeing some of the enclosures.We did check the website in advance regarding seeing the pandas and it stated that they would be available to see. However when we arrived at the zoo a sign told us they were not available to be seen.Certainly will not be visiting again. Not value for money.,
Pandas were closed,"After getting my 2 year old daughter excited for a day at the zoo she was left disappointed. The panda enclosure was closed even though on the website it was stated that it was closed till Thursday 14th March and today was Friday 15th. We had to make up a story about why we couldn’t see them to her! She was excited to see the penguin parade, however, this was not what it used to be and the 3 penguins only came out of one gate and into another!The tiger was a hit and so were the flamingos! A lot of monkeys too! Couldn’t see the rhino, don’t know where he was hiding!Some staff were fantastic and very knowledgable, however as it was a very cold wet day someone from the discovery centre was out telling us there were activities for the children to do inside, off we headed only to be confronted by rude woman asking us what we were doing here. When we explained they told us we should be using the side door not this entrance!Would I return? No! I have visited much better zoos.",
Third visit something new to see every time.,This was our third visit and new experiences every time.The pandas were having their vet check so couldn’t see them but these checks need to be done.The tiger bridge wow we couldn’t have timed it better as he walked over our heads amazing.We went to all the talks and really enjoyed them. Really sorry I don’t know the name of the guy who did them all but he was brilliant and really friendly.Rained quite a bit but still we saw a lot of the animals.Third but not final visit.,
Visited on a day out,"This zoo seems to cater for the animals they look after,and the enclosure provide lots of space,the staff and volunteers are helpful knowledgeable and friendly. The only thing I didn’t like was the garden areas could do with some maintenance and tidying up,also the zoo has lots of steep walks to get to the top part of the zoo",
Pandas and Penguins,"Panda's and penguins what not to love!Only saw one of the panda's and it was asleep with the occasional stretch!Penguins were super cute and lots of information on the way they live etc. Underwater viewing area was good.Koala's were cute too,",
Average,"It was lovely however they lacked a lot of animals, giraffes, reptile enclosure, elephants were just a few to name. It was the same price as Chester Zoo. They were no staff members walking around to ask for help or what way to find what animal. Chester Zoo i would pay £20 but not here.",
Baby koala,"It's a very nice zoo and good if you want to get your steps in. When I visited they had a BABY KOALA, BABY TAPIER AND BABY MONKEYS! I love animals especially the cute baby's. the food was nice, the atmosphere was lovely, and I could easily spend the day here. Got there at 11am left at 4pm but could have easily spent longer wondering around xx",
Enjoyable Visit,"We really enjoyed our visit to Edinburgh Zoo. It's important to note that parts of the zoo are very hilly and the enclosures in these areas are quite well spaced out, so this means a lot of walking! We ate at two cafes on the site and enjoyed our lunch (and cake) in both of them. It was great to see Yang Guang; unfortunately we were not allowed to view the pandas inside but I understand that areas are closed off sometimes in the best interest of the animals. I would definitely visit again!",
Disappointed is an understatement!,"Yes we were lucky enough to see both Panda's,inside and outside of their enclosures, but that was as good as it got. I've been to Chester zoo and Flamingo land zoo and both are far superior to this in respect of the size and quality of space and enclosure that the animals are housed in. I felt very sad too see how a lot of the animals were kept. My friend and I had expected to spend most of the day there but walked round the whole zoo in just over 2 hours. I won't be recommending it too anyone I know. Sorry.",
Oh just save your money,"Well we had traveled a fair distance to see the pandas , they had a nice enclosure butNo entry was allowed on the platform.The penguin but was closed, the kolas where not accessible, some bit were okayHard walk.i would recommend other zoosThe manager didn’t care and no staff to be seen",
Not The Best Zoo,"If the weather helps it would be better to enjoy this activity than doing it on a rainy or cold day. We had a look almost on every animal in the Zoo. It looked well organized according to the size of the area or so we thought! After our walk what we did not like was that some animals especially the big ones like panda, tiger, rhinoceros were very very low on energy, tired, trapped, like they needed more space around them. Other smaller animals as well looked so sad, some areas also were very dirty and smelly. Overall we left with a heart brake as well like those animals felt. Pity...",
Fantastic day out,Visited Edinburgh Zoo in February and had a fantastic day put.  The staff are very friendly and helpful and we saw an amazing amount of animals despite the cold weather.  We had a really enjoyable day and it was excellent value for money,
Great Zoo,"Have been a Life Member of the RZSS for many, many years. Although I don’t live in Edinburgh anymore - it’s always a place I visit. Gone are the days of taking friends their for silver service lunch in The Mansion House. However things move on. The march of progress. Had a great talk at the Tiger Enclosure by (I presume) the cat curator. The best way to stop a tiger attacking is to stare fully into it’s eyes. I would not want to be in the position to try it out. Very informative though.I would encourage all who read this to take out an Annual Membership to help Wildlife Conservation. Or how about adopting one of the collection?",
